sibE	11100110000001011011011101000011
gadY	10101010011101100110100000011110
sibA	10011101001010000111110011000101
yneP	10110011011101000011011101100000
rttR	11110101011000110100001010110100
ymgJ	10010000110101010110110010101011
mbiA	11111001010011010111110000100000
ymjE	11111110001001011000001001010101
sraG	10011100011110010011101000010011
rhoL	11110000000100101110110101101001
sibC	10001011100100111100101100001110
ypdJ	11100101011100010010001001101110
ylcH	10001110101101010101011100010001
iraM	11011001111000000100100111101001
ffs	10011101011100011011110101000000
ybfB	10111111010110100011001000010100
ralR	10010111000001110000110111010011
ygeO	10100110010111000101100100101110
ssrA	11010011000100000011011111001101
ybcM	11000101010111011000000011011011
csgC	11010000111100010001000110101111
ssrS	11000000011101111111101000001100
ymgL	10101110000011010101100100111100
yibV	10100111001101111001010010010100
ryeA	10101110110011011101010011000000
ydfV	11001101000011010101011101001001
yidD	11110011110010011100000111000010
rzoD	11110101011000001000110011110010
yceQ	11011101010110110101100101000000
ynaM	10111110010101110100110100010000
yoaL	11010100101001001110010110011001
isrC	10101100100011100100011110000111
insI2	10001100100111100110110000101011
ynfT	10111111010101010100110100010000
waaL	10100011011010011101011000110100
ykfM	11101101000110001001110101010100
ydaS	10011011001110011100100110010001
yncL	10001111110100100001010100101101
csrB	11100011000100110100100001110111
rprA	11010000101111000011101100101100
yafF	10010111111100000101011011000100
ninE	10010110001010101010110100110011
xisD	11000001001111101011001001011100
ymfH	11000101011101010110110000000111
ymfD	11000100110110000100111110101001
ykgJ	11100001111001000110010100110110
yahM	10011001010101101110000001110011
yzfA	10010101011011111100011000000101
casD	10001101100001100010100101011111
appY	11000011000011011101111001000101
rzoR	11110001101000000001011111011010
yfdI	10010010010111100101101000011011
ypaB	11100100111011000101010110110000
lit	10100010010001111111101000110001
ygiZ	11011101110110100011001000110000
yjgZ	10001100101101000111010001010111
ybcL	10010111000101011110011110000010
insI-2	11100011100101000110101100110010
insI-3	11100011100101000110101100110010
ynfQ	10011110010100001101000111011100
yrhC	11000100000111100001100011011111
yqgC	10100110001000010100111011110101
yqeK	11011010010101001101011001000110
wbbH	10010100110000011110101010100111
yagN	10001000110000111101101011001011
trkG	11101001000111000001010010111101
insI-1	11110011100001000110101100110010
yjbT	11101101001110011001011001100000
mokB	11010111000001010100111010100101
yjiT	10110110101000001101011001110100
ynaL	11010110110000110101010001011100
yncO	11011101000000100111110001100110
yagL	11000100100100100110101111110001
ymfM	11000100011000100111111010001101
xisE	10111010001011001110010101110000
ybgU	11011001001110001101000001010111
arfA	10010100011100001101110101101100
yjfZ	11000110001100100011111101110000
ilvL	11001001101100000010011100011111
gspC	11010101110011011000001000010111
yfjJ	10100001001101001111110101100100
ylcI	11001011011010000111110001100001
ybcK	10100010100101000011111000101111
yddK	10110011000000011110110000111110
waaU	11010101100001010001010111000111
yadC	10100100111000110100111101010001
yhhZ	11001100100110101001011101011000
priB	10001111010100110100011011001001
tdcR	11010010100100010011001111100101
intG	11000100000011000011111111011001
ygeP	11010011100011100010010011100110
ymcE	11011010111001000011110010001010
ychS	11011001100011011011011000010010
rseD	11110000001110000111011001100011
alpA	10000011101110010010011100110110
rfbX	11100100010111100111100100000110
ypdI	11010100011001010100111101100100
mcrA	11110110100111100100010001101000
gadX	11011000000001011101011011001110
ogrK	10001000010111110111010110110000
yhiS	10011101010011100001000101111010
yagM	10001101010101001100100111010011
ybfK	10010011011101110100111000010100
ygeH	11101010000101100111000010101101
ythA	11110010000101110101011010000110
yfcO	11110000010111010011100010000111
yehK	11111011100100001001101101000001
ymcF	10010111010100001110011010001101
flhE	10110100100000110101011111100100
ykgL	11010110111110010100100100001100
sieB	10110001001101001110000001111011
yehE	10111101000011100111010010010010
fimB	11111100010000010011001010111100
yjhB	11101010110010000100111101000110
ynfO	11000101100111010000011110101010
ydjO	11100101010100100101110001011010
hokB	11010101000101100111100100010011
hokD	11110100110100110001100110010001
pyrL	11000101011101110000101010011001
yddJ	11010011011101110010000111100000
ymgA	11011001010111000100011011001001
ymfE	10110011101010001101000110111000
yibG	11100001001011101100011001101001
ghoT	11000000011110011010010011011110
wbbI	10111010011000100010110001001111
insK	10100001110001111000010101110011
ybfP	10000101110001010111110001110001
ygeI	10100110100000110101110100110101
yfdG	11101100001000100111111110100000
yciY	10100001001101011110111001001001
ydfW	11101011000001010101001101001110
yadK	11100000100010101100110101110110
cbrB	10010000011000111111110001111000
emrE	10010101010101000011001001110111
insA-4	10010001011001010011110101110001
blr	11010001110010011111100100000011
yfjW	10011110011100001110000101011100
ychJ	10000000111000110001010101111111
insA-7	10010001111111010001110001110000
yigG	11000001110000110111001011110010
ynaE	10100110100110100110001101110001
yjjY	11000101010101001001111101010100
yibS	11011000001001001110000111101101
insA-1	10010001011001010011010101110011
insA-5	10010001011001010011010101110011
insA-6	10010001011001010011010101110011
insA9	10010001011001010011010101110011
yedX	10000100011010000101111111110001
yrhD	10011101111001110110001100000010
yobH	10101111000101111101010000110000
ybdO	11010100110011001001011101001001
mokC	10001101001110110100111010011000
yhgH	10000101000001011101010011111011
yqeH	10000101011001111101010010100011
yaaY	11000000001010110111110100011011
ygiA	10010000101100101111110111100000
ghoS	10110111010110010011000111010000
ygeK	11100110010111100100010011100001
dicA	10110100110100001001100001111011
wbbJ	10000110110110001111100001011001
ydfO	11101111001001000101011000101001
yrhA	11110101001000100101000101011101
ydeQ	11001101111001001000101011001001
gloB	11100101010100111000010110110100
ygdT	10101000000101001111100101111001
yjjQ	10010101101100010100010111100110
smf	11010111110000001001101010011010
ygcG	11000110001001010011010010110111
insA-2	10010001011001010011110001110011
insA-3	10010001011001010011110001110011
ylcJ	10100101100110011100011101000101
yhfG	11010101100110010101010101101000
yhiJ	11010001101101101001010000110101
ymfK	11110000000011001110001010111011
